2114100328,101,80,3
2114100328,102,81,3.1
2114100328,103,82,3.2
2114100328,105,83,3.3
2114100306,101,84,3.4
2114100306,102,85,3.5
2114100306,103,86,3.6
2114100306,105,87,3.7
2114100314,101,88,3.8
2114100314,102,89,3.9
2114100314,103,90,4
2114100314,105,91,4.1
2114100128,101,80,3
2114100128,106,81,3.1
2114100128,104,82,3.2
2114100128,105,83,3.3
2114100106,101,84,3.4
2114100106,106,85,3.5
2114100106,104,86,3.6
2114100106,105,87,3.7
2114100114,101,88,3.8
2114100114,106,89,3.9
2114100114,104,90,4
2114100114,105,91,4.1
